,Zipcode,Cluster8Assignment
1003,04574,6
1004,04575,6
1005,04605,6
1006,04606,6
1007,04609,6
1008,04612,6
1009,04613,6
1010,04614,6
1011,04616,6
1012,04619,6
1013,04627,6
1014,04631,6
1015,04640,6
1016,04648,6
1017,04654,5
1018,04655,6
1019,04657,6
1020,04658,6
1021,04662,7
1022,04668,6
1023,04671,6
1024,04677,6
1025,04679,6
1026,04694,6
1027,04730,6
1028,04734,6
1029,04736,6
1030,04739,6
1031,04740,6
1032,04743,6
1033,04745,6
1034,04747,6
1035,04750,6
1036,04756,6
1037,04757,6
1038,04760,6
1039,04761,6
1040,04769,6
1041,04779,6
1042,04841,5
1043,04843,6
1044,04848,6
1045,04853,6
1046,04854,6
1047,04856,6
1048,04859,6
1049,04864,6
1050,04901,6
1051,04903,5
1052,04910,6
1053,04911,6
1054,04912,6
1055,04915,5
1056,04917,7
1057,04922,6
1058,04923,6
1059,04924,6
1060,04927,6
1061,04928,6
1062,04929,6
1063,04930,6
1064,04932,6
1065,04936,6
1066,04937,6
1067,04939,6
1068,04943,6
1069,04945,6
1070,04947,6
1071,04949,6
1072,04950,6
1073,04951,6
1074,04953,6
1075,04955,6
1076,04956,6
1077,04957,6
1078,04961,6
1079,04963,6
1080,04967,6
1081,04970,6
1082,04976,5
1083,04978,6
1084,04979,6
1085,04981,6
1086,04989,6
1087,04992,5
1088,05001,5
1089,05030,6
1090,05033,6
1091,05034,7
1092,05036,6
1093,05043,7
1094,05045,7
1095,05048,6
1096,05051,6
1097,05053,7
1098,05055,7
1099,05059,6
1100,05061,5
1101,05068,5
1102,05071,7
1103,05072,7
1104,05076,6
1105,05089,6
1106,05101,5
1107,05141,6
1108,05142,6
1109,05146,7
1110,05149,6
1111,05150,5
1112,05152,8
1113,05155,6
1114,05158,6
1115,05161,6
1116,05201,5
1117,05250,7
1118,05251,8
1119,05254,6
1120,05257,5
1121,05260,6
1122,05262,7
1123,05301,5
1124,05341,6
1125,05343,6
1126,05346,6
1127,05350,7
1128,05354,6
1129,05358,6
1130,05360,6
1131,05361,7
1132,05362,7
1133,05363,6
1134,05401,5
1135,05402,4
1136,05403,7
1137,05404,5
1138,05406,5
1139,05407,5
1140,05408,5
1141,05440,6
1142,05441,6
1143,05442,6
1144,05443,6
1145,05445,7
1146,05446,5
1147,05451,7
1148,05452,7
1149,05453,5
1150,05454,6
1151,05456,7
1152,05458,7
1153,05459,6
1154,05461,6
1155,05462,6
1156,05464,6
1157,05465,7
1158,05468,6
1159,05471,6
1160,05472,7
1161,05477,6
1162,05478,5
1163,05481,6
1164,05482,7
1165,05487,6
1166,05488,6
1167,05491,5
1168,05494,7
1169,05495,7
1170,05602,5
1171,05640,7
1172,05641,5
1173,05647,7
1174,05651,6
1175,05654,6
1176,05655,6
1177,05656,5
1178,05660,6
1179,05661,6
1180,05663,5
1181,05673,6
1182,05674,6
1183,05675,6
1184,05677,6
1185,05679,6
1186,05680,6
1187,05682,7
1188,05701,5
1189,05730,7
1190,05733,6
1191,05735,6
1192,05736,6
1193,05737,7
1194,05739,6
1195,05740,5
1196,05743,6
1197,05747,7
1198,05751,6
1199,05753,5
1200,05757,7
1201,05759,6
1202,05763,6
1203,05765,6
1204,05767,6
1205,05768,6
1206,05769,6
1207,05770,7
1208,05775,7
1209,05777,6
1210,05819,5
1211,05820,6
1212,05822,6
1213,05825,6
1214,05828,6
1215,05829,6
1216,05832,7
1217,05833,6
1218,05841,6
1219,05843,6
1220,05846,6
1221,05848,7
1222,05849,5
1223,05851,5
1224,05855,5
1225,05857,6
1226,05858,6
1227,05862,6
1228,05866,6
1229,06001,8
1230,06002,3
1231,06010,5
1232,06011,3
1233,06013,7
1234,06016,5
1235,06018,6
1236,06019,7
1237,06021,7
1238,06023,6
1239,06026,7
1240,06027,7
1241,06029,7
1242,06032,7
1243,06033,7
1244,06034,5
1245,06035,7
1246,06037,7
1247,06040,5
1248,06042,5
1249,06043,7
1250,06045,8
1251,06050,3
1252,06051,5
1253,06052,5
1254,06053,4
1255,06058,7
1256,06060,7
1257,06062,6
1258,06063,7
1259,06066,5
1260,06067,8
1261,06068,7
1262,06069,7
1263,06070,7
1264,06071,6
1265,06073,7
1266,06074,7
1267,06076,6
1268,06078,7
1269,06081,5
1270,06082,5
1271,06083,6
1272,06084,7
1273,06085,7
1274,06088,6
1275,06089,7
1276,06092,7
1277,06093,7
1278,06095,5
1279,06096,6
1280,06098,5
1281,06102,3
1282,06103,4
1283,06105,4
1284,06106,2
1285,06107,7
1286,06108,5
1287,06109,7
1288,06110,7
1289,06111,5
1290,06112,3
1291,06114,2
1292,06117,8
1293,06118,5
1294,06119,5
1295,06120,3
1296,06126,3
1297,06127,7
1298,06128,3
1299,06129,5
1300,06133,5
1301,06137,7
1302,06138,4
1303,06226,5
1304,06231,7
1305,06232,7
1306,06234,6
1307,06235,6
1308,06237,7
1309,06238,7
1310,06239,5
1311,06242,7
1312,06243,6
1313,06247,7
1314,06248,7
1315,06249,7
1316,06250,7
